window_id,cv_band,mean_bin,timestamp,mean_bin_low,mean_bin_high,cv_band_low,cv_band_high,mean_GHI,spatial_cv,temporal_mean_cv,selection_score,eligible_cell_n
W01,1,1,2010-07-04 08:24:00,400,575,0.0032503537692532944,0.027541613167609124,488.1458983333334,0.014751196380788197,0.002527117456693915,0.00035424871745640845,1254
W02,1,2,2010-07-14 09:04:00,575,750,0.0032503537692532944,0.027541613167609124,664.8147316666666,0.01554313436542324,0.0036281243054546324,0.0003750554084129813,882
W03,1,3,2010-07-24 15:03:00,750,925,0.0032503537692532944,0.027541613167609124,837.7936083333332,0.01520785847489916,0.003674710750415097,2.9327914958269497e-06,705
W04,1,4,2010-07-31 14:28:00,925,1100,0.0032503537692532944,0.027541613167609124,1013.9101166666666,0.015462209603487532,0.002206636547407708,0.00018187664573426178,910
W05,2,1,2010-07-31 10:25:00,400,575,0.027541613167609124,0.175657307821353,487.69126166666666,0.08451352136473858,0.06753597141732823,1.7494760509815366e-05,1300
W06,2,2,2010-07-14 09:16:00,575,750,0.027541613167609124,0.175657307821353,661.6569183333334,0.08429687297349378,0.04936091478932593,5.3459992312448646e-05,888
W07,2,3,2010-07-30 14:36:00,750,925,0.027541613167609124,0.175657307821353,836.6786499999998,0.08124551850253263,0.15862092907980324,0.0007033015884147509,730
W08,2,4,2010-07-02 13:03:00,925,1100,0.027541613167609124,0.175657307821353,1009.6289066666666,0.08430011101040423,0.05917542724045605,0.00029917559022592444,833
W09,3,1,2010-07-25 12:31:00,400,575,0.175657307821353,0.9531644966937006,486.4309133333333,0.29714380112581473,0.18880441418463442,4.7244283518405215e-05,1428
W10,3,2,2010-07-19 15:40:00,575,750,0.175657307821353,0.9531644966937006,664.0659333333333,0.3032771285775719,0.271552245261893,0.00010252139523474717,1144
W11,3,3,2010-07-30 13:07:00,750,925,0.175657307821353,0.9531644966937006,838.0551566666667,0.28966121017894514,0.44273350608168593,0.00017323858388139875,818
W12,3,4,2010-07-23 12:51:00,925,1100,0.175657307821353,0.9531644966937006,1014.9871116666667,0.2968221805021437,0.14850595945271589,0.000214683714881707,361
