variant,alpha,windows_nonempty,min_n,max_n,max_required_guard,mean_window_max_guard,max_error,windows_exceeding_guard
DEPTH_PI,0.25,12,46,46,0.0480080768331085,0.006684796080327544,0.0458088805748333,1
DEPTH_PI,0.5,12,31,31,0.0446836152861882,0.005609184620591579,0.0427723902551561,1
DEPTH_PI,0.75,12,16,16,0.0229869814116543,0.003471560225919136,0.0224704535144071,0
DEPTH_PI,1.0,12,1,1,0.0110735943851099,0.0010154775336134116,0.0124699789811753,0
T10R_MIN,0.25,12,19,42,0.0553208568290097,0.008317825439354595,0.0524208883687147,1
T10R_MIN,0.5,12,10,40,0.0553208568290097,0.008306808088346204,0.0524208883687147,1
T10R_MIN,0.75,12,7,40,0.0553208568290097,0.008117945696016178,0.0524208883687147,1
T10R_MIN,1.0,12,4,39,0.0553208568290097,0.007139114558099946,0.0524208883687147,1
T10_MIN,0.25,12,28,44,0.0553208568290097,0.008321971801638343,0.0524208883687147,1
T10_MIN,0.5,12,16,44,0.0553208568290097,0.008306992886671069,0.0524208883687147,1
T10_MIN,0.75,12,8,41,0.0553208568290097,0.008301287005648963,0.0524208883687147,1
T10_MIN,1.0,12,4,39,0.0553208568290097,0.007139114558099946,0.0524208883687147,1
T10_PRODUCT,0.25,12,21,44,0.0553208568290097,0.00831801023767946,0.0524208883687147,1
T10_PRODUCT,0.5,12,13,44,0.0553208568290097,0.008306023108669652,0.0524208883687147,1
T10_PRODUCT,0.75,12,7,41,0.0553208568290097,0.008301287005648963,0.0524208883687147,1
T10_PRODUCT,1.0,12,4,39,0.0553208568290097,0.007139114558099946,0.0524208883687147,1
T25_MIN,0.25,12,16,38,0.0553208568290097,0.007551685188404885,0.0524208883687147,1
T25_MIN,0.5,12,8,31,0.0553208568290097,0.0060248652756685036,0.0524208883687147,1
T25_MIN,0.75,12,2,22,0.0553208568290097,0.005487095712098765,0.0524208883687147,1
T25_MIN,1.0,12,1,15,0.0056308997516112,0.0005930253574063403,0.0092481066285314,0
TRI50_MIN,0.25,12,13,34,0.0553208568290097,0.006607420543929535,0.0524208883687147,1
TRI50_MIN,0.5,12,3,25,0.0150792106688955,0.002682931227748628,0.014855205889754,0
TRI50_MIN,0.75,12,1,12,0.0150792106688955,0.0014712190588221567,0.014855205889754,0
TRI50_MIN,1.0,12,1,1,0.0150792106688955,0.0013214464710275698,0.014855205889754,0
